Valeurs min et max par colonne et par fichier

          min          max                  column                         file
-1.300000e+01 3.200000e+01        nutriscore_score chunk_17_filtered_part_0.csv
-2.000000e+01 1.230000e+02          ecoscore_score chunk_17_filtered_part_0.csv
 3.000000e-01 1.100000e+00            completeness chunk_17_filtered_part_0.csv
 1.332273e+09 1.729432e+09            last_image_t chunk_17_filtered_part_0.csv
 0.000000e+00 9.020000e+02        energy-kcal_100g chunk_17_filtered_part_0.csv
 0.000000e+00 3.772000e+03             energy_100g chunk_17_filtered_part_0.csv
 0.000000e+00 1.000000e+02                fat_100g chunk_17_filtered_part_0.csv
 0.000000e+00 9.500000e+01      saturated-fat_100g chunk_17_filtered_part_0.csv
 0.000000e+00 1.000000e+02      carbohydrates_100g chunk_17_filtered_part_0.csv
 0.000000e+00 1.000000e+02             sugars_100g chunk_17_filtered_part_0.csv
 0.000000e+00 8.300000e+01           proteins_100g chunk_17_filtered_part_0.csv
 0.000000e+00 9.834750e+01               salt_100g chunk_17_filtered_part_0.csv
 0.000000e+00 3.933900e+01             sodium_100g chunk_17_filtered_part_0.csv
-1.300000e+01 3.200000e+01 nutrition-score-fr_100g chunk_17_filtered_part_0.csv
 1.332694e+09 1.728994e+09               created_t chunk_14_filtered_part_0.csv
 1.463053e+09 1.729486e+09         last_modified_t chunk_14_filtered_part_0.csv
 1.705496e+09 1.729486e+09          last_updated_t chunk_14_filtered_part_0.csv
-1.400000e+01 3.600000e+01        nutriscore_score chunk_14_filtered_part_0.csv
-2.000000e+01 1.220000e+02          ecoscore_score chunk_14_filtered_part_0.csv
 1.000000e+00 5.560000e+02          unique_scans_n chunk_14_filtered_part_0.csv
 3.000000e-01 1.100000e+00            completeness chunk_14_filtered_part_0.csv
 1.333906e+09 1.729411e+09            last_image_t chunk_14_filtered_part_0.csv
 0.000000e+00 2.420000e+03        energy-kcal_100g chunk_14_filtered_part_0.csv
 0.000000e+00 5.448000e+03             energy_100g chunk_14_filtered_part_0.csv
 0.000000e+00 1.000000e+02                fat_100g chunk_14_filtered_part_0.csv
 0.000000e+00 9.200000e+01      saturated-fat_100g chunk_14_filtered_part_0.csv
 0.000000e+00 1.050000e+02      carbohydrates_100g chunk_14_filtered_part_0.csv
 0.000000e+00 1.040000e+02             sugars_100g chunk_14_filtered_part_0.csv
 0.000000e+00 8.000000e+01           proteins_100g chunk_14_filtered_part_0.csv
 0.000000e+00 1.800000e+02               salt_100g chunk_14_filtered_part_0.csv
 0.000000e+00 7.200000e+01             sodium_100g chunk_14_filtered_part_0.csv
 3.268444e+07 3.271080e+17                    code chunk_15_filtered_part_0.csv
 1.332181e+09 1.729279e+09               created_t chunk_15_filtered_part_0.csv
 1.454002e+09 1.729473e+09         last_modified_t chunk_15_filtered_part_0.csv
 1.707543e+09 1.729473e+09          last_updated_t chunk_15_filtered_part_0.csv
-1.400000e+01 3.000000e+01        nutriscore_score chunk_15_filtered_part_0.csv
-2.000000e+01 1.230000e+02          ecoscore_score chunk_15_filtered_part_0.csv
 2.750000e-01 1.100000e+00            completeness chunk_15_filtered_part_0.csv
 1.332362e+09 1.729451e+09            last_image_t chunk_15_filtered_part_0.csv
 0.000000e+00 9.000000e+02        energy-kcal_100g chunk_15_filtered_part_0.csv
 0.000000e+00 3.766000e+03             energy_100g chunk_15_filtered_part_0.csv
 0.000000e+00 1.000000e+02                fat_100g chunk_15_filtered_part_0.csv
 0.000000e+00 9.900000e+01      saturated-fat_100g chunk_15_filtered_part_0.csv
 0.000000e+00 1.000000e+02      carbohydrates_100g chunk_15_filtered_part_0.csv
 0.000000e+00 1.000000e+02             sugars_100g chunk_15_filtered_part_0.csv
 0.000000e+00 7.700000e+01           proteins_100g chunk_15_filtered_part_0.csv
 0.000000e+00 2.800000e+01               salt_100g chunk_15_filtered_part_0.csv
 0.000000e+00 1.120000e+01             sodium_100g chunk_15_filtered_part_0.csv
 1.332366e+09 1.729419e+09               created_t chunk_19_filtered_part_0.csv
 1.471351e+09 1.729447e+09         last_modified_t chunk_19_filtered_part_0.csv
 1.707125e+09 1.729447e+09          last_updated_t chunk_19_filtered_part_0.csv
-1.200000e+01 3.600000e+01        nutriscore_score chunk_19_filtered_part_0.csv
 3.000000e-01 1.100000e+00            completeness chunk_19_filtered_part_0.csv
 1.338900e+09 1.729447e+09            last_image_t chunk_19_filtered_part_0.csv
 0.000000e+00 9.000000e+02        energy-kcal_100g chunk_19_filtered_part_0.csv
 0.000000e+00 3.766000e+03             energy_100g chunk_19_filtered_part_0.csv
 0.000000e+00 1.000000e+02                fat_100g chunk_19_filtered_part_0.csv
 0.000000e+00 9.700000e+01      saturated-fat_100g chunk_19_filtered_part_0.csv
 0.000000e+00 7.116000e+02      carbohydrates_100g chunk_19_filtered_part_0.csv
 0.000000e+00 1.410000e+02             sugars_100g chunk_19_filtered_part_0.csv
 0.000000e+00 7.300000e+01           proteins_100g chunk_19_filtered_part_0.csv
 0.000000e+00 1.000000e+02               salt_100g chunk_19_filtered_part_0.csv
 0.000000e+00 4.000000e+01             sodium_100g chunk_19_filtered_part_0.csv
